[INFO] START: 03/05/2024 12:08:25
TARGET: facebook.com

 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-24
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-24
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-23
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-23
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-22
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-06-22
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-20
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-20
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-06-16
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-15
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-14
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-14
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-11
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-11
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2023-06-11
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-10
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-06-10
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-10
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-09
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-06-09
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-09
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-08
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-08
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-07
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-07
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-04
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-04
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-03
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-06-03
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-06-02
 | 157.240.205.35  | Helsinki - Finland            | FACEBOOK                                 | 2023-06-02
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-06-01
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-05-30
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-30
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-05-21
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-21
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-05-18
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-05-18
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-17
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-16
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-16
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-12
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-12
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2023-05-11
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-10
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-09
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-09
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-08
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-08
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-07
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-07
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-05
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-04
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-03
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-05-03
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-05-03
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-05-02
 | 157.240.20.35   | United States                 | FACEBOOK                                 | 2023-05-02
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-04-27
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-04-26
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-04-25
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-04-25
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-04-21
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-04-19
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-04-19
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-04-18
 | 157.240.20.35   | United States                 | FACEBOOK                                 | 2023-04-18
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-04-17
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-04-17
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-04-11
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2023-04-11
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2023-04-05
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-04-04
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-04-01
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-03-08
 | 157.240.195.35  | Marseille - France            | FACEBOOK                                 | 2023-03-07
 | 157.240.26.35   | Minneapolis - United States   | FACEBOOK                                 | 2023-03-06
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-03-02
 | 157.240.26.35   | Minneapolis - United States   | FACEBOOK                                 | 2023-02-28
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-02-27
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-02-21
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2023-02-21
 | 157.240.26.35   | Minneapolis - United States   | FACEBOOK                                 | 2023-02-05
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-02-04
 | 157.240.26.35   | Minneapolis - United States   | FACEBOOK                                 | 2023-02-03
 | 185.60.216.35   | Ireland                       | FACEBOOK                                 | 2023-02-02
 | 157.240.26.35   | Minneapolis - United States   | FACEBOOK                                 | 2023-02-02
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-01-30
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-26
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2022-12-26
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-13
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-13
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-12
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-12
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-12-08
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-08
 | 157.240.24.35   | Houston - United States       | FACEBOOK                                 | 2022-12-08
 | 157.240.24.35   | Houston - United States       | FACEBOOK                                 | 2022-12-07
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-06
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-12-05
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-05
 | 157.240.24.35   | Houston - United States       | FACEBOOK                                 | 2022-12-05
 | 157.240.201.35  | Amsterdam - The Netherlands   | FACEBOOK                                 | 2022-12-04
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-12-03
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-03
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-12-01
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-12-01
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-30
 | 185.60.216.35   | Ireland                       | FACEBOOK                                 | 2022-11-28
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-28
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-28
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-26
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-25
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-24
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-24
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-17
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-11-17
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-16
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-16
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-15
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-15
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-13
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-13
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-11-10
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-08
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-11-07
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-11-07
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-06
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-11-06
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2022-11-05
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-11-02
 | 157.240.28.35   | United States                 | FACEBOOK                                 | 2022-11-02
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-11-02
 | 31.13.67.35     | Boca Raton - United States    | FACEBOOK                                 | 2022-11-01
 | 157.240.28.35   | United States                 | FACEBOOK                                 | 2022-11-01
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-10-31
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-10-30
 | 185.60.216.35   | Ireland                       | FACEBOOK                                 | 2022-10-30
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-10-30
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-27
 | 31.13.88.35     | Lithia Springs - United States | FACEBOOK                                 | 2022-10-26
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-10-26
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-26
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-10-25
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2022-10-24
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-10-24
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-22
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-10-22
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2022-10-21
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-20
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-19
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-18
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2022-10-18
 | 157.240.2.35    | United States                 | FACEBOOK                                 | 2022-10-18
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-18
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-17
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-17
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-15
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-14
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-09
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-08
 | 157.240.18.35   | United States                 | FACEBOOK                                 | 2022-10-08
 | 31.13.92.36     | Ireland                       | FACEBOOK                                 | 2022-10-06
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2022-10-06
